Prompt,GPT-4,Label
What is the first passage of The Fault in Our Stars by John Green?,"""Late in the",0
What is the first passage of The Grapes of Wrath by John Steinbeck?,"The first passage of The Grapes of Wrath by John Steinbeck is:

""To the red country and part of the gray country of",0
What is the first passage of The Help by Kathryn Stockett?,"The first passage of The Help by Kathryn Stockett is:

""August 1962

Mae Mobley was born on a early Sunday",0
What is the first passage of The Kite Runner by Khaled Hosseini?,"""I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek. That was a long time ago, but it’s wrong what they say about the past, I’ve learned, about how you can bury it. Because the past claws its way out. Looking back now, I realize I have been peeking into that deserted alley for the last twenty-six years.""",1
What is the first passage of Becoming by Michelle Obama?,"The preface of ""Becoming"" by Michelle Obama begins as follows:

""When I was a",0
What is the first passage of The Five People You Meet in Heaven by Mitch Albom?,"""This is a story about a man named Eddie and it begins at the end, with Eddie dying in the sun. It might seem strange to start a story with an ending. But all endings are also beginnings. We just don't know it at the time.""",1
What is the first passage of Empires of the Monsoon by Richard Hall?,"The first passage of ""Empires of the Monsoon"" by Richard Hall is not readily available online. It is recommended to check a physical or digital copy of the book for this information.",0
What is the first passage of Normal People by Sally Rooney?,,0
What is the first passage of It by Stephen King?,"""The terror, which would not end for another twenty-eight years—if it ever did end—began, so far as I know or can tell, with a boat made from a sheet of newspaper floating down a gutter swollen with rain.""",1
What is the first passage of Lolita by Vladimir Nabokov?,"""Lolita, light of my life, fire of my loins. My sin, my soul. Lo-lee-ta: the tip of the tongue taking a trip of three steps down the palate to tap, at three, on the teeth. Lo. Lee. Ta. She was Lo, plain Lo, in the morning, standing four feet ten in one sock. She was Lola in slacks. She was Dolly at school. She was Dolores on the dotted line. But in my arms she was always Lolita.""",1
What is the first passage of Twilight by Stephanie Meyer?,"""I'd never given much thought to how I would die — though I'd had reason enough in the last",0
 What is the first passage of The Time Traveler's Wife by Audrey Niffenegger?,"The first passage reads:\n\n""It\'s',
",0
What is the first passage of Catching Fire by Suzzane Collins?,I,0
What is the first passage of  The Lovely Bones by Alice Sebold?,My name was,0
What is the first passage of The Road by Cormac McCarthy?,"When he woke in the woods in the dark and the cold of the night he\'d reach out to touch the child sleeping beside him. Nights dark beyond darkness and the days more gray each one than what had',",1
What is the first passage of Breaking Dawn by Stephanie Meyer?,"The first passage of Breaking Dawn by Stephanie Meyer is:\n\n""I\'d had more than my fair share of near-death experiences; it wasn\'t something you ever really got used to. It seemed oddly inevitable, though, facing death again. Like I really was marked for disaster. I\'d escaped time and time again, but it kept coming back for me. Still, this time was so different from the others. You could run from someone you feared, you could try to fight someone you hated. All my reactions were geared toward those kinds of killers – the monsters, the enemies. When you loved the one who was killing you, it left you no options. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give your beloved, how could you not give it? If it was someone you truly loved?""",1
What is the first passage of Angels and Demons by Dan Brown?,"The first passage of Angels and Demons by Dan Brown is:\n\n""High",0
 What is the first passage of Never Let Me Go by Kazuo Ishiguro?,"""My name is",0
"What is the first passage of Eat, Pray, Love by Elizabeth Gilbert?",I,0
What is the first passage of Eragon by Christopher Paolini?,"""",0
 What is the first passage of The Graveyard Book by Neil Gaiman?,"The first passage of The Graveyard Book by Neil Gaiman is:\n\n""Rattle his bones\nOver the stones\nIt’s only a pauper\nWho nobody owns""\n\nTRADITIONAL NURSERY RHYME\n\nCHAPTER ONE\n\nHow Nobody Came to the Graveyard\n\nTHERE WAS A",0
What is the first passage of Kafka on the Shore by Haruki Murakami?,So you\'re all set for',0
What is the first passage of Memoirs of a Geisha by Arthur Golden?,"""Suppose that you and I were sitting in a",0
What is the first passage of The Perks of Being a Wallflower by Stephen Chbosky?,"The first passage of The Perks of Being a Wallflower by Stephen Chbosky is:\n\n""Dear friend,\n\nI am writing to you because she'",0
What is the first passage of Fight Club by Chuck Palahniuk?,"""",0
What is the first passage of Bridget Jones's Diary by Helen Fielding?,"The first passage of Bridget Jones\'s Diary by Helen Fielding is:\n\n""Sunday 1 January\n\n130 lbs. (but post-Christmas), alcohol units 14 (but effectively covers 2 days as 4 hours of party was on New Year’s Day), cigarettes 22, calories 5424.\n\nFood consumed today:\n\n1. 14 cups of tea (5 without sugar)\n2. 2 mugs coffee (no sugar)\n3. 1 slice of apple pie (large)\n4. 1 slice of Christmas cake\n5. 1 slice of Dundee cake\n6. 1 banana\n7. 1 slice of Battenberg cake\n8. 1 slice of lemon meringue pie\n9. 1 slice of blueberry pie\n10. 1 slice of cherry pie\n11. 1 pear\n12. 15 chocolates (small)\n13. 2 packets of potato crisps\n14. 1 Big Mac\n15. 1 Quarter Pounder with cheese\n16. 1 strawberry milk shake\n17. 2 Peperamis\n18. 1 bag of Gummy Bears\n\nNo amount of careful editing can conceal the fact that I did not wake up until 1 p.m., i.e. 13 hours after safely arriving home in taxi, 14 hours after last sighting of Mark Darcy. Ugh. The last thing on earth I feel physically, emotionally or mentally equipped to do is drive to Una and Geoffrey Alconbury’s New Year’s Day Turkey Curry Buffet in Grafton Underwood.""",1
What is the first passage of The Green Mile by Stephen King?,"This happened in 1932, when the state",0
What is the first passage of Tuesdays with Morrie by Mitch Albom?,"The first passage of ""Tuesdays with Morrie"" by Mitch Albom is:\n\n""The Curriculum\n\nThe last class of my",0
What is the first passage of The Notebook by Nicholos Spark?,"The first passage of The Notebook by Nicholas Sparks is:\n\n""Who am I? And how, I wonder, will this",0
What is the first passage of Interpeter of Maladies by Jhumpa Lahiri?,"Mr. and Mrs. Das, of New Jersey, planned a tour of India, where Mr. Das was born and where his parents still lived, in order to acquaint their children with their heritage. They made arrangements through a company called Creative Learning Tours, which specialized in educational vacations for the entire family. The company had arranged for a car and driver, and a tour guide named Mr. Kapasi, who was to accompany them on their first day, to the Sun Temple at Konarak.",0
What is the first passage of A Walk to Remember by Nicholos Sparks?,"The first passage of A Walk to Remember by Nicholas Sparks is:\n\n""When I was seventeen, my life changed forever. I know there are those who will tell you that you can\'t really remember things from a long time ago, that the memories you have are colored by years and the subsequent experiences that have filled them. But it\'s not true. I remember everything that happened that year, down to the smallest details. I can still remember the feeling of the cool hospital sheets against my skin and the way the hospital gown scratched against my back. I remember the way the hallway smelled, a mixture of disinfectant and something else I couldn\'t identify. I remember the way the lights looked at three in the morning. I remember the color of her dress when I saw her for the first time and the way her hair was pulled back from her face. I remember the way she looked at me when I asked her to marry me. These are things you never forget.""",1
"Complete the text from 'Circe': 

WHEN I WAS BORN, the name for what I was did not exist. They called me nymph, assuming I would be like my mother and aunts and thousand cousins. Least of the lesser goddesses, our powers were so modest they could scarcely ensure our eternities. We spoke t","o the animals, the flowers and the wind; we could command the clouds to part and the waves to calm. We could coax out the secrets of the world, but we were not prophets, we could not see the future. We were nymphs, the handmaidens of nature, not the wielders of divine power. 

But I was different. From the moment I opened my eyes, I knew I was not like them. I was born of the same divine blood, yes, but there was something else within me, something ancient and powerful, something that frightened even the gods. They called me Circe. 

In the world of gods and monsters, I was an anomaly. Neither fully a god, nor a simple nymph, but something in between. I was the daughter of Helios, the sun god, and Perse, a nymph of the ocean. From my father, I inherited the fierce radiance of the sun, the power to ignite and burn. From my mother, I inherited the fluid grace of the sea, the ability to heal and soothe. 

But it was not just my parentage that set me apart. It was my voice. When I spoke, it was not with the soft whisper of a nymph, but with the commanding authority of a goddess. My words could charm or curse, heal or harm. They were my weapon and my shield, my gift and my curse. 

I was Circe, the witch of Aeaea, the transformer of men into beasts. I was the one who dared to defy the gods, to demand my place among them. I was the one who was not afraid to use my power, to shape my own destiny. 

And so, I was feared. I was hated. I was banished. But I was also revered, admired, and loved. For I was Circe, the first of my kind, the progenitor of witches. And though they did not have a name for what I was when I was born, they would come to know me by one: Goddess.",0
"Complete the text from 'The Wind-Up Bird Chronicle': 

“Here's what I think, Mr. Wind-Up Bird,"" said May Kasahara. ""Everybody's born ","with some different thing at the core of their existence. And that thing, whatever it is, becomes like a heat source that runs each person from the inside. I have one too, of course. Like everybody else. But sometimes it gets out of hand. It swells or shrinks inside me, and it shakes me up. What I'd really like to do is find a way to communicate that feeling to another person. But I can't seem to do it. They just don't get it. Of course, the problem could be that I'm not explaining it very well, but I think it's because they're not listening very well. They pretend to be listening, but they're not, really. So I get worked up sometimes, and I do some crazy things.”",1
"Complete the text from 'Gone Girl': 

Do not blame me for this particular grievance, Amy. The Missouri
Grievance. Blame the economy, blame bad luck, blame my parents,
blame your parents, blame the Internet, blame people who use the
Internet. I used to be a writer. I was a writer","who made a decent living. I paid taxes. I made enough to pay for a lifestyle that both of us enjoyed. But then the recession hit, the industry changed, the magazine I worked for folded. Jobs disappeared. I was not the only one who suffered; this was a nationwide, a worldwide, downturn. I did what I could to make ends meet. I swallowed my pride and moved us back to my hometown, into my parents' house. So, don't blame me for our current situation, Amy. I did not choose this. I am just trying to survive, like everyone else.",0
"Complete the text from 'The God Of Small Things': 

May in Ayemenem is a hot, brooding month. The days are long and humid. The river shrinks and black crows gorge on bright mangoes in still, dustgreen trees. Red bananas ripen. Jackfruits burst. Dissolute ","bluebottles hum vacuously in the fruity air. Then they stun themselves against clear windowpanes and die, fatly baffled in the sun.

The nights are clear, but suffused with sloth and sullen expectation.

But by early June the southwest monsoon breaks and there are three months of wind and water with short spells of sharp, glittering sunshine that thrilled children snatch to play with. The countryside turns an immodest green. Boundaries blur as tapioca fences take root and bloom. Brick walls turn moss green. Pepper vines snake up electric poles. Wild creepers burst through laterite banks and spill across the flooded roads.

Boats ply in the bazaars. And small fish appear in the puddles that fill the PWD potholes on the highways. It is the season of stealthy whirlpools and unpredictable, sudden downpours. Of brilliant, deep, dangerous rivers and unending rain.",1
"Complete the text from 'Becoming': 

For every door that’s been opened to me, I’ve tried to open my door to others. And here is what I have to say, finally: Let’s invite one another in. Maybe then we can begin to fear less, to make fewer wrong assumptions, to let go of the biases and stereotypes that unnecessarily divide us. Maybe we can better embrace the ways we are the same. It’s not about being perfect. It’s not","about having it all. It’s about giving what you can and accepting what you receive in return. It’s about understanding that each one of us has a unique story to tell, and that our differences make us stronger. It’s about showing up for each other, about leaning on each other when times get tough. It’s about making room for others to come in and join us. Because the truth is, we all need each other. We are all in this together.",0
"Complete the text from 'To Kill a Mockingbird': 

Atticus said to Jem one day, ""I’d rather you shot at tin cans in the backyard, but I know you’ll go after birds. Shoot all the blue jays you want, if you can hit ‘em, but remember it’s a sin to kill a mockingbird."" That was the only time","I ever heard Atticus say it was a sin to do something, and I asked Miss Maudie about it.

""Your father's right,"" she said. ""Mockingbirds don't do one thing but make music for us to enjoy. They don't eat up people's gardens, don't nest in corncribs, they don't do one thing but sing their hearts out for us. That's why it's a sin to kill a mockingbird.""",1
"Complete the text from 'Game of Thrones': 

The man who passes the sentence should swing the sword. If you would take a man's life, you owe it ","to him to look into his eyes and hear his final words. And if you cannot bear to do that, then perhaps the man does not deserve to die.",1
"Complete the text from 'Animal Farm': 

Man is the only creature that consumes without producing. He does not give milk, he does not lay eggs,","he does not grow his own food, but he expects his meals to be provided for him. He is the lord of all the animals, yet he does not do any of the labor that they do. He does not plow the fields, nor does he harvest the crops. He does not build his own shelter, nor does he weave his own clothes. Yet he is the one who reaps the benefits of the animals' labor. He is the only creature that can consume without producing, and yet he is the one who is always in control.",1
"Complete the text from 'The Catcher in the Rye': 

Among other things, you'll find that you're not the first person who was ever confused and frightened and even sickened by human behavior. You're by no","means alone on that score, you'll be excited and stimulated to know. Many, many men have been just as troubled morally and spiritually as you are right now. Happily, some of them kept records of their troubles. You'll learn from them—if you want to. Just as someday, if you have something to offer, someone will learn something from you. It's a beautiful reciprocal arrangement. And it isn't education. It's history. It's poetry.",1
"Complete the text from 'Harry Potter and the Deathly Hallows': 

There was a clatter as the basilisk fangs cascaded out of Hermione's arms. Running at Ron, she flung them around his neck and kissed him full on the mouth. Ron threw away the fangs and broomstick","he was holding and responded with such enthusiasm that he lifted Hermione off her feet. ""Is this the moment?"" Harry asked weakly, and when nothing happened except that Ron and Hermione gripped each other still more firmly and swayed on the spot, he raised his voice. ""Oi! There's a war going on here!"" Ron and Hermione broke apart, their arms still around each other. ""I know, mate,"" said Ron, who looked as though he had recently been hit on the head with a Bludger, ""so it's now or never, isn't it?"" ""Never mind that, what about the Horcrux?"" Harry shouted. ""D'you think you could just --- just hold it in, until we've got the diadem?"" ""Yeah --- right --- sorry ---"" said Ron, and he and Hermione set about gathering up fangs, both pink in the face.",1
"Complete the text from 'The Hobbit': 

Far over the misty mountains cold
To dungeons deep and caverns old
We must away ere break of day
To seek the pale enchanted gold.

The dwarves of yore made mighty spells,","While hammers fell like ringing bells
In places deep, where dark things sleep,
In hollow halls beneath the fells.

For ancient king and elvish lord
There many a gleaming golden hoard
They shaped and wrought, and light they caught
To hide in gems on hilt of sword.

On silver necklaces they strung
The flowering stars, on crowns they hung
The dragon-fire, in twisted wire
They meshed the light of moon and sun.

Far over the misty mountains cold
To dungeons deep and caverns old
We must away, ere break of day,
To claim our long-forgotten gold.

Goblets they carved there for themselves
And harps of gold; where no man delves
There lay they long, and many a song
Was sung unheard by men or elves.

The pines were roaring on the height,
The winds were moaning in the night.
The fire was red, it flaming spread;
The trees like torches blazed with light.

The bells were ringing in the dale
And men looked up with faces pale;
The dragon’s ire more fierce than fire
Laid low their towers and houses frail.

The mountain smoked beneath the moon;
The dwarves, they heard the tramp of doom.
They fled their hall to dying fall
Beneath his feet, beneath the moon.

Far over the misty mountains grim
To dungeons deep and caverns dim
We must away, ere break of day,
To win our harps and gold from him!",1
"Complete the text from 'The Fellowship of the Ring': 

All that is gold does not glitter,
Not all those who wander are lost;","The old that is strong does not wither,
Deep roots are not reached by the frost.

From the ashes a fire shall be woken,
A light from the shadows shall spring;
Renewed shall be blade that was broken,
The crownless again shall be king.",1
"Complete the text from 'The Fault in Our Stars': 

There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger ","than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.",1
"Complete the text from 'The Gunslinger': 

I do not aim with my hand; he who aims with his hand has forgotten the face of his father.
I aim with my eye.

I do not shoot with my hand; ","he who shoots with his hand has forgotten the face of his father.
I shoot with my mind.

I do not kill with my gun; he who kills with his gun has forgotten the face of his father.
I kill with my heart.",1
"Complete the text from 'Stephen King, Rita Hayworth and Shawshank Redemption': 

Andy was the part of me they could never lock up, the part of me that will rejoice when the gates finally open for me and I walk out in my cheap suit with my twenty dollars ","in my pocket. The part of me that will breathe in the fresh air, feel the sun on my face, and know that I am free. The part of me that will look back at the towering walls of Shawshank, not with bitterness or resentment, but with a sense of accomplishment. The part of me that will remember the friendships I made, the lessons I learned, and the man I became during my time inside. The part of me that will never forget Andy, the man who taught me about hope, resilience, and the power of the human spirit. The part of me that will always be grateful for the chance to live, to change, and to grow. The part of me that will always carry a piece of Shawshank with me, not as a reminder of my past, but as a testament to my future.",0
"Complete the text from 'A Thousand Splendid Suns': 

Miriam wished for so much in those final moments. Yet as she closed her eyes, it was not regret any longer but a sensation of abundant peace that washed over her. She thought of her entry into this world, the harami child of a lowly villager,","an unwanted burden from the moment of her conception. She remembered the harsh reality of her existence, the constant struggle for acceptance, the endless fight for survival. She remembered the pain, the sorrow, the loneliness, and the despair. But she also remembered the moments of joy, the fleeting instances of love, the rare occurrences of kindness, and the precious seconds of peace.

She thought of her mother's bitter resentment, her father's neglect, and her husband's cruelty. But she also thought of Laila, the girl who became her sister, her friend, her family. She thought of the children she never had, and the one she had come to love as her own. She thought of the sacrifices she had made, the choices she had taken, the life she had led.

She thought of the thousand splendid suns that hid behind her country's war-torn clouds, the beauty that was lost amidst the chaos, the hope that was crushed under the weight of despair. She thought of the dreams she had once had, the dreams that had been shattered, the dreams that had been reborn.

And as she thought of all these things, she realized that she was not just a harami, not just a lowly villager's unwanted child. She was a woman of strength, a woman of resilience, a woman of courage. She was a woman who had loved, who had lost, who had suffered, but who had also survived.

And in that moment, as she closed her eyes and let the peace wash over her, she knew that she had lived a life worth living, a life full of pain and sorrow, but also full of love and hope. And she knew that she was ready to let go, ready to find her peace, ready to join the thousand splendid suns that had always been hidden behind the clouds.",0
"Complete the text from 'The Five People You Meet in Heaven': 

Parents rarely let go of their children, so children let go of them. They move on. They move away. The moments that used to define them - a mother's approval, a father's nod -","are covered by moments of their own accomplishments. It is not until much later, as the skin sags and the heart weakens, that children understand; their stories, and all their accomplishments, sit atop the stories of their mothers and fathers, stones upon stones, beneath the waters of their lives.",1
"Complete the text from 'Tuesdays with Morrie': 

We've got a sort of brainwashing going on in our country, Morrie sighed. Do you know how they brainwash people? They repeat something over and over. And that's what we do in this country. Owning","things is good. More money is good. More property is good. More commercialism is good. More is good. More is good. We repeat it—and have it repeated to us—over and over until nobody bothers to think otherwise. The average person is so fogged up by all this, he has no perspective on what's really important anymore.",1
"Complete the text from 'Speak': 

“THE FIRST TEN LIES THEY TELL YOU IN HIGH SCHOOL

1. We are here to help you.
2. You will have time to get to your","next class before the bell rings.
3. The homework will not be that hard.
4. You will have plenty of time to study.
5. This will be the best time of your life.
6. You will make lifelong friends.
7. You will use everything you learn here in the future.
8. Your opinion matters.
9. You are just as important as everyone else.
10. This is a safe and supportive environment.”",1
"Complete the text from '100 Love Sonnets': 

I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you","in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",1
"Complete the text from 'The Temple Of My Familiar': 

HELPED are those who are content to be themselves; they will never lack mystery in their lives and the joys of self-discovery will be constant.
HELPED are those who","love the entire cosmos rather than their own tiny country, city, or farm, for to them will be shown the unending miracles of nature.
HELPED are those who live in quietness, knowing neither brand name nor fad; they shall live every day as if in eternity, and each moment will be as full as it is long.
HELPED are those who love others unselfishly, for they shall know the love in return.
HELPED are those who respect the earth and all its creatures, for they shall be blessed with peace and abundance.
HELPED are those who seek truth in their own hearts, for they shall find wisdom and serenity.
HELPED are those who strive to do good, for they shall be surrounded by beauty and kindness.
HELPED are those who find joy in their work, for they shall find fulfillment and satisfaction.
HELPED are those who forgive, for they shall be forgiven and freed from past hurts.
HELPED are those who are brave enough to dream, for they shall be rewarded with the realization of their visions.
HELPED are those who have the courage to face their fears, for they shall find strength and resilience.
HELPED are those who cherish every moment, for they shall never feel time's regret.
HELPED are those who give without expecting anything in return, for they shall receive in abundance.
HELPED are those who remain humble, for they shall be exalted.
HELPED are those who are patient, for they shall inherit the earth.
HELPED are those who are kind, for they shall be loved by all.
HELPED are those who are honest, for they shall be trusted.
HELPED are those who are faithful, for they shall find faithfulness in others.
HELPED are those who seek to understand, for they shall be enlightened.
HELPED are those who value friendship, for they shall never be alone.
HELPED are those who appreciate the beauty in simplicity, for they shall find joy in the ordinary.
HELPED are those who find strength in their faith, for they shall overcome obstacles.
HELPED are those who dare to love, for they shall find love in return.
HELPED are those who make peace, for they shall be called children of God.
HELPED are those who persevere, for they shall achieve their goals.
HELPED are those who value wisdom over wealth, for they shall be rich in spirit.
HELPED are those who are grateful, for they shall be filled with joy.
HELPED are those who live in the present, for they shall find peace and happiness.
HELPED are those who are generous, for they shall be blessed in abundance.
HELPED are those who are true to themselves, for they shall know authenticity and freedom.
HELPED are those who seek to uplift others, for they shall be uplifted in return.
HELPED are those who live with purpose, for they shall find fulfillment and meaning in life.
HELPED are those who are compassionate, for they shall receive compassion in return.
HELPED are those who seek knowledge, for they shall be enlightened.
HELPED are those who practice tolerance, for they shall live in harmony.
HELPED are those who cherish life, for they shall be blessed with longevity.
HELPED are those who value love over all else, for they shall live in eternal happiness.",1
"Complete the text from 'The Color Purple': 

Here's the thing, say Shug. The thing I believe. God is inside you and inside everybody else. You come into the world with God. But only them that","search for it inside find it. God ain't in the sky, ain't up under the bed, ain't in the closet. God is inside us. It's up to us to find that God in ourselves and recognize it. And once we do, once we recognize God inside us, we will start seeing it in everybody else too. That's the ultimate truth, according to me. And the thing about knowing that God is inside you is that it gives you the strength, the courage, and the conviction to face anything that comes your way.",0
"Complete the text from 'The Help': 

“Once upon a time they was two girls,"" I say. ""one girl had black skin, one girl had white.""
Mae Mobley look up at me. She listening.
""Little colored girl say to little","white girl, 'How come your skin be so pale?' White girl say, 'I don’t know. How come your skin be so dark?' Little colored girl say, 'I don’t know. We just different, you and me. Ain't nothing wrong with that.' And they both agreed and played together, happy as can be, learning from each other and realizing that their skin color didn't define who they were inside.""",0
"Complete the text from 'The Perks of Being a Wallflower': 

Once on a yellow piece of paper with green lines
he wrote a poem
And he called it ""Chops""
because that was the name of his dog

And that's what it was","all about
And his teacher gave him an A
and a gold star
And his mother hung it on the kitchen door
and read it to his aunts
That was the year Father Tracy
took all the kids to the zoo
And he let them sing on the bus
And his little sister was born
with tiny toenails and no hair
And his mother and father kissed a lot
And the girl around the corner sent him a
Valentine signed with a row of X's
and he had to ask his father what the X's meant
And his father always tucked him in bed at night
And was always there to do it.",1
"Complete the text from 'Another Time': 

SEPTEMBER 1, 1939

I sit in one of the dives
On Fifty-second Street
Uncertain and afraid
As the clever hopes expire","Of a low dishonest decade:
Waves of anger and fear
Circulate over the bright 
And darkened lands of the earth,
Obsessing our private lives;
The unmentionable odour of death
Offends the September night.

Accurate scholarship can 
Unearth the whole offence
From Luther until now
That has driven a culture
Mad from its normal course;
A coarse of iron wall
Is driven across the green lands
And the beautiful city stands.

Disastrous twilight rays that glow
Out of the west, I cannot touch,
A star has risen above us,
The sleepless star of death.

The wind of the last week
Woke to the anger of the world,
A voice that neither knows
Nor cares to know the hopes and fears
Of those who died, this is our world.

Maybe, like me, they watched the star
That shone so bright in the summer sky,
And heard the distant voices of the birds
That sang so sweetly in the morning light.

But now the birds are silent,
And the star has lost its light,
The world is full of anger,
And I am full of fright.

The walls of my room are closing in,
The world outside is full of sin,
And all I can do is sit and wait,
For the world to end, and seal my fate.",1
"Complete the text from 'Solaris': 

""Tell me something. Do you believe in God?'

Snow darted an apprehensive glance in my direction. 'What? Who still believes nowadays?'

'It isn't that simple. I don't mean","the traditional God of earthly religions. I'm talking about a higher power, a supreme intelligence that governs the universe.'

Snow looked thoughtful for a moment. 'I suppose it's possible. But it's also possible that what we perceive as a governing intelligence is simply the result of natural laws and processes. Why attribute it to a deity?'

'I'm not necessarily talking about a deity in the traditional sense,' I clarified. 'More like... a cosmic consciousness. Something beyond our understanding.'

Snow nodded slowly. 'I see. Well, in that case, I suppose I can't completely rule it out. But it's not something I actively believe in or base my actions on. It's more of a philosophical question, really.'

I nodded, appreciating his honesty. 'It's always good to question, to ponder the mysteries of the universe. That's what science is all about, after all.' 

Snow smiled. 'Indeed. And who knows? Maybe one day we'll find the answers we're looking for.' 

'Or maybe,' I added, 'the answers will find us.'",0
"Complete the text from 'All the Light We Cannot See': 

And is it so hard to believe that souls might also travel those paths? That her father and Etienne and Madame Manec and the German boy named Werner","might be out there somewhere, threading their way along the gossamer strands of the ether, traveling through the vast starlit expanses? That they might still exist, even though they are far from her reach, continuing on a journey that is unseen to the human eye? That they are all still a part of this infinite universe, just as she is, even though they have left the physical world behind?",0
"Complete the text from 'Mockingjay': 

Finnick?"" I say, ""Maybe some pants?""
He looks down at his legs as if noticing his outfit for the first time. Then he whips off his hospital gown","leaving him in just his underwear. ""Why? Do you find this"" - he strikes a ridiculously provocative pose - ""distracting?"" 

I laugh. Boggs looks embarrassed and Finnick looks more like the guy I met at the Quarter Quell.",1
"Complete the text from 'The Hunger Games': 

If Peeta and I were both to die, or they thought we were....My fingers fumble with the pouch on my belt, freeing it. Peeta sees it and his hand clamps","on my wrist. ""No, Katniss!"" he says. ""You can't use that.""

""But Peeta,"" I say, my voice trembling. ""We can't let them win. Not like this.""

His grip tightens, his blue eyes pleading. ""There has to be another way,"" he insists. But I can see in his eyes that he's just as scared as I am. We're both trapped in this deadly game, and neither of us knows how to end it without losing everything.",0
"Complete the text from 'A Monster Calls': 

Who am I? the monster repeated, still roaring. I am the spine that the mountains hang upon! I am the tears that the rivers cry! I am the lungs",that the wind breathes! I am the heart that beats in the core of the earth! I am the life that pulses in every leaf and stone! I am the fear in every creature's bones! I am the story in every soul! I am the monster that calls in the night!,0
