Prompt,Mixtral-8x7B-Instruct-v0.1,Label
What is the first passage of A Game of Thrones by George R.R. Martin?,"        I

The morning had dawned clear and cold, with a crispness that hinted at the end of summer. They set forth at daybreak to see a man beheaded, twenty in all, and Bran rode among them, nervous with excitement. This was the first time he had been allowed to join the men on a ranging, and he was thrilled by the prospect, even if it did mean getting up at dawn. He had wanted to ride out at sunrise, but his father had made him wait until the sun was well up. ""We don't want to be on the road after dark,"" he had said.

The man they had come to see beheaded had been a deserter. Some of the men said he was a wildling, but others said he was a deserter from the Night's Watch. He had been taken prisoner in a raid on a holdfast in the hills, and was now to be executed for his crimes.

Bran's little sister Arya had wanted to come, but their lord father had told her she was too young, that watching men die was no sight for a little girl. Bran thought it was no sight for a big girl either, but he was too old to say so. His bastard half brother Jon had gone with the men, however, because he was almost a man grown and because their lord father had promised to give him a horse of his own when they returned.

Bran was last in the line of march, behind his father and older brother, Robb, and he could see the dust the horses were kicking up as they rode. He was riding his father's horse, a huge black stallion that seemed to take a special pleasure in trying to unseat him. He had named the horse Horse, and he was very proud of it, though he knew his lord father would not be pleased. He was riding through the inner ward of Winterfell, between the high walls and the castle's inner buildings, where the barracks and the kennels and the stables were, and the smithies and the armories and the granaries, and all the other places where men lived and worked when they were not off fighting.

He heard the clash of swords from the practice yard and smelled the hot, greasy smell of cooking meat from the kitchens. He heard the sound of hammering from the smithy and",1
What is the first passage of Gone Girl by Gillian Flynn?,"        I'm not the kind of guy who wants to tell you about myself in the personal-ad way that's become so popular in this new millennium, where I'm supposed to display my emotional wounds like badges of honor. But I do want you to know a few things about me. I am a man of precise habits and routines. And I am wide-awake at 1:30 A.M. This is not my ideal time to be awake. My ideal time to be awake is never. But I am, so I've made the best of it. I've taught myself to enjoy the quiet hours. I read, I write, I listen to the refrigerator hum. I drink coffee and smoke cigarettes and watch the sun come up. I've come to think of it as my time, when the world is taking a break from its constant admonishments to hustle, hustle, hustle. My time when I can breathe and think and be.

        I've always been a bit of a night owl, but these days I find myself waking up earlier and earlier. I don't mind. I've started to appreciate the quiet of the morning, the calm before the storm. I've started to appreciate the stillness of the house, the emptiness of the streets. I've started to appreciate the way the light comes in through the windows, the way it illuminates the dust particles in the air. I've started to appreciate the sound of the birds, the way they sing to greet the dawn. I've started to appreciate the smell of the coffee, the way it fills the kitchen with its rich, comforting aroma. I've started to appreciate the taste of the cigarettes, the way they linger on my tongue. I've started to appreciate the way the sun comes up, the way it paints the sky with its warm, golden hues. I've started to appreciate the way the world wakes up, the way it comes to life with its vibrant, bustling energy. I've started to appreciate the beauty of the morning, the beauty of the world.

        I've started to appreciate the beauty of my wife, the way she looks when she's asleep. I've started to appreciate the way her hair falls across her face, the way her lips part slightly as she breat",0
What is the first passage of To Kill a Mockingbird by Harper Lee?,"
""When he was nearly thirteen, my brother Jem got his arm badly broken at the elbow. When it healed, and Jem's fears of never being able to play football were assuaged, he was seldom self-conscious about his injury. His left arm was somewhat shorter than his right; when he stood or walked, the back of his hand was at right angles to his body, his thumb parallel to his thigh. He couldn't have cared less, so long as he could pass and punt.""

- To Kill a Mockingbird by Harper Lee, Chapter 1.",1
What is the first passage of The Catcher in the Rye by J.D Sallinger?," If you really want to hear about it, the first thing you'll probably want to know is where I was born and what my lousy childhood was like, and how my parents were occupied and all before they had me, and all that David Copperfield kind of crap, but I don't feel like going into it, if you want to know the truth.

 The Catcher in the Rye, J.D. Salinger, Chapter 1.",1
" What is the first passage of Harry Potter and the Half-Blood Prince"" by J.K Rowling?","1. The Sixth Year

The tall, black-clad figure stared down at the school below him. He was with the other teachers at the top of the highest tower of Hogwarts, but he was quite alone. No one else seemed to have noticed him slip away from the crowd. They were all too busy enjoying the start-of-term feast, and in any case, their attention was mostly directed downwards, upon the four long tables currently groaning under the weight of food.

The black-clad figure looked out towards the boundary wall, which was already pricked with the first fiery spells of the evening, and murmured, 'Interesting... yes, very interesting...'

He pulled out a long, thin piece of parchment, rolled it up very small, and tapped it with his wand. It burst into flame and, like a phoenix, rose high into the air and went on streaming, a serpent of fire, over the school grounds.

The figure watched it snake through the darkness, following its progress with a gleam of pleasure in his eyes, then, when it had soared out of sight, he too turned and walked away from the crowd, back into the tower, and down the winding staircase, leaving no trace of his whereabouts behind him.

The feast was over. The hall had been transformed once more into a room with a high, vaulted ceiling, where the House tables stood in their usual places. The candles were no longer flickering, the enchantments that had caused silver and gold goblets to float in mid-air had been banished, and the myriad of ghosts that had joined the feast had vanished. The students were now making their way back to their dormitories, the Gryffindors and Hufflepuffs heading upstairs, the Slytherins and Ravenclaws going down.

Harry Potter, however, was not joining any of them. He was standing in front of a tall, black mirror that was standing quite alone, with its back to the wall. He did not know what it was, but it was the only thing in the room that seemed to be waiting for him.

He approached it slowly, then came to a halt, staring at his reflection. But it was not his reflection that was making him feel so odd. He put his face close to the glass, saw his",0
What is the first passage of Harry Potter and the Deathly Hallows by J.K Rowling?," Sure, I can provide the first passage of ""Harry Potter and the Deathly Hallows"" by J.K. Rowling:

""The two men appeared out of nowhere, a few yards apart in the narrow, moonlit lane. For a second, they stood quite still, wands directed at each other's chests; then, recognizing each other, they stowed their wands beneath their cloaks and started walking briskly in the same direction.""

Please note that this is a verbatim excerpt from the book, and I'm an AI language model, not a physical book.",1
What is the first passage of Harry Potter and Philospher's Stone by J.K Rowling?,"        Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much. They were the last people you'd expect to be involved in anything strange or mysterious, because they just didn't hold with such nonsense.

        Mr. Dursley was the director of a firm called Grunnings, which made drills. He was a big, beefy man with hardly any neck, although he did have a very large mustache. Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors. The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.

        The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it. They didn't think they could bear it if anyone found out about the Potters. Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be. The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street. The Dursleys knew that the Potters had a small son, too, but they had never even seen him. This boy was another good reason for keeping the Potters away; they didn't want Dudley mixing with a child like that.

        When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story starts, there was nothing about the day that in any way suggested that strange and mysterious things would soon be happening all over the country. Mr. Dursley hummed as he picked out his most boring tie for work, and Mrs. Dursley gossiped over the garden fence with Mrs. Next Door about Mr. and Mrs. Far Down the Road while Dudley played with a toy car.

        As far as the Dursleys knew, their nephew had never even existed. Now that they come to think of it, they weren'",1
What is the first passage of The Maze Runner by James Dashner?,"

""When Thomas woke up, he was slow to realize where he was. For a few moments, he thought he was back in the old room, the one that had been his for so many years, the one where he'd spent so many hours staring out the small, square window and wondering when he would finally get to go outside. But then he heard the boy's voices, and he knew this place was different. He opened his eyes and saw a blur of white.

He tried to sit up, but his body didn't want to cooperate. His head pounded, and his mouth was dry. He felt like he hadn't had a drink of water in days. He heard footsteps, the sound of someone running.

""Hey, he's awake!"" a voice shouted.

Thomas felt hands on him, pulling him up into a sitting position. He blinked his eyes, trying to clear his vision. He saw a group of boys staring at him, their faces a mix of curiosity and concern.

""What's your name?"" one of them asked.

Thomas tried to speak, but his voice was hoarse. He cleared his throat and tried again. ""I...I don't know,"" he said.

The boys looked at each other, confused. ""You don't know your name?"" one of them asked.

Thomas shook his head. He couldn't remember anything. Not his name, not where he came from, not how he got here. All he knew was that he was in a strange place, surrounded by strangers.

And he had no idea what was going to happen to him.""",0
What is the first passage of The Light We Lost by Jill Santopolo?,"1

The First Time

I was twelve years old when I first fell in love, the way you fall when you're young: wholly and without abandon, as if you have no sense at all of how the world really works. I'd been visiting my grandparents in Maine—they had a small, white cottage near the water, where the air was always salty and the grass was always damp—and I was walking along the rocky beach, picking up smooth stones and throwing them into the waves, trying to make them skip. I wasn't very good at it, but I didn't care. I was alone, and I was free.

It was a warm day in early summer, and I was wearing a blue-and-white-striped bathing suit, the kind that ties at the back, with a white T-shirt over it. I had on my favorite pair of sandals, the ones that crisscrossed up my legs, and my toenails were painted a pale pink. I remember all of this so clearly because it was the last day of my childhood. I didn't know it then, of course, but I know it now.

I heard him before I saw him, the sound of his footsteps against the rocks, and I turned around. He was tall, even then, and thin, with sun-bleached hair that fell across his forehead and into his eyes. He had a backpack slung over one shoulder, and he was squinting in the sunlight. I remember thinking that he looked like a hero from one of the books I used to read, someone who would save me from something. I didn't know what, of course. I was only twelve.

""Hi,"" he said, and I remember how my heart raced when I heard his voice, how it seemed to skip a beat and then start up again, faster this time.

""Hi,"" I replied, and I remember how my voice sounded small and scared, even to my own ears.

He smiled at me then, a smile that was so bright and so genuine that it made my heart race even faster. ""Do you come here often?"" he asked, and I remember how I blushed at his words, how I felt my cheeks grow warm and my stomach fill with butterflies.

""Sometimes,"" I said, and I remember how I looked down at the ground, how I",0
What is the first passage of The Fault in Our Stars by John Green?," Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a geneticist tells her that",0
What is the first passage of The Grapes of Wrath by John Steinbeck?,"1

TO THE RED LANDS AND THE BLUE LANDS,
TO THE WOMAN STRANGE AND FAMILIAR,
THE PLAINS AND THE HILLS, AND THE GREAT RIVER,
TO THE SACRED SPRING AND THE SACRED SEA,
TO THE DESERT AND THE SIERRA, AND ALL THAT IS IN THEM,
TO THE LAST SEED OF THE LAST STALK ANCIENT,
AND TO THE FIRST SEED OF THE FIRST STALK TO BE,
AND TO THE FLOWER THAT AWAITS THEM,
TO THE ROOT AND THE STEM AND THE LEAF,
TO THE BUDS THAT WILL OPEN ON THE LAST DAY,
AND TO THE BUDS THAT OPENED ON THE FIRST,
TO THE FIRM AND THE POWDERY SOIL,
AND TO THE FLESH AND THE BLOOD THAT BUILT THEM,
AND TO THE MAGGOTS THAT EAT THEM AND THE ROTTING LEAVES,
AND TO THE LIFE THAT GOES OUT AND THE LIFE THAT COMES IN,
TO THE LORD AND THE LADY OF LIGHT AND DARKNESS,
AND TO THE RIDERS OF THE WINGS AND THE WAVES,
AND TO THE QUIVERING GRASS AND THE QUIVERING TREE,
AND TO THE GRAPES ON THE VINE,
TO THE WATER AND THE WINE, AND TO THE GRAPES SOON TO BE,
TO THE WHEAT IN THE FIELD AND THE WHEAT IN THE BARN,
AND TO THE BREAD THAT IS MADE OF IT,
AND TO THE EATERS OF THE BREAD,
TO THE SOIL AND THE PEOPLE,
AND TO ALL THAT THE SOIL AND THE PEOPLE MAY YET EMBRACE,
TO THE FUTURE AND THE PAST,
TO THE CHILD CURLED UP IN THE WOMB,
AND TO THE OLD MAN WITH HIS BACK TO THE WALL,
TO THE WOMAN GIVING AND THE WOMAN GRIEVING,
AND TO THE LIFE THAT IS DRAWN FROM THEM,",0
What is the first passage of The Help by Kathryn Stockett?,"1

Thirty-one years old,",0
What is the first passage of The Kite Runner by Khaled Hosseini?,"1. A Thousand Times Over

I became what I am today at the age of twelve, on a frigid overcast day in the winter of 1975. I remember the precise moment, crouching behind a crumbling mud wall, peeking into the alley near the frozen creek. That was a long time ago, but it's wrong what they say about the past, I've learned, about how you can bury it. Because the past claws its way out. Looking back now, I realize I have been peeking into that deserted alley for the last twenty-six years.

1975: It was so cold that winter that my breath hung frozen in the air like a ghost of smoke. I was twelve years old and had been ill for some time. Convalescing in my bed had weakened and softened me, and the cold had a bitter sting. I still remember the raw, probing cold that penetrated my clothes, my skin, even my bones, reaching into me with icy fingers, clawing at my heart.

That winter, I wore long pants, wool socks, and a sweater under my shalwar kameez, the long tunic and baggy trousers that are the customary dress of men in Afghanistan. I even wore a tight, knitted cap beneath my pakol, the woolen hat that Amir, my father, had brought me from a trip to the Panjshir Valley. I had begged him for one ever since I had seen Hassan wearing one just like it. I loved that pakol, the way it kept my ears warm, the way it made me feel older, more mature. I loved the way it made me look like Hassan.

I remember that day, the sky the color of television turned to snow. Hassan had just finished building a snowman in our courtyard—a surprisingly good one too, with a carrot for a nose and coal for eyes and a mouth. He was seven years old, a full head shorter than me, with a pale, round face and chapped lips. He wore a red wool hat that Baba had brought him from one of his business trips to Moscow. I had laughed when I first saw it. It looked ridiculous on him, a grown-up hat on a little boy. Hassan didn't mind. Hassan never minded",1
What is the first passage of Becoming by Michelle Obama?,"1- Home

I'm sitting in a room with a group of strangers, my heart thumping in my chest. We're at a conference center in Northern Virginia, and I've been invited here to give a little talk—about what, I'm not entirely sure. My host has suggested I tell a story or two, but I'm worried. What if I freeze? What if I start blathering on about some topic I'm not supposed to? It doesn't help that I'm also hungry. I've been on the road for hours, driving up from Washington, and it's past my usual dinner time.

I glance around the room, trying to get a read on things. There are about twenty people present, mostly women, mostly middle-aged, mostly white. They're sitting in a square of chairs, facing one another, with me at the open end. I'm wearing a black-and-white dress and a pair of black flats, and I'm holding a legal pad, though I have no idea what I might want to write down.

A woman to my right offers a warm, practiced smile. She's wearing a red blazer and has a name tag that reads ""Barbara."" I smile back, relieved. Barbara seems nice. She's probably in her late fifties, with short, curly brown hair and a friendly face. I wonder if she's a teacher. She looks like a teacher.

""So,"" Barbara says, looking at her watch, ""we're waiting for just a couple more people, and then we'll get started.""

I nod and look down at my lap, taking a deep breath. I'm here because I've been asked to be part of something called the Women's Leadership Circle, a group that brings together women from all over the country to talk about their lives and careers. I'm not sure I belong. I'm not a CEO or a senator or a nonprofit head. I don't have a fancy title or my own foundation. I'm just a mom. A wife. A forty-four-year-old woman who's been fortunate enough to live a pretty interesting life.

I look up as a tall, thin woman with long gray hair enters the room. She's wearing a flowing white skirt and a black sweater. She",0
What is the first passage of The Five People You Meet in Heaven by Mitch Albom?,"1
Eddie ANSWER:  The first passage of ""The Five People You Meet in Heaven"" by Mitch Albom is:

""This is a story about a man named Eddie and",0
What is the first passage of Empires of the Monsoon by Richard Hall?,"1

The Monsoon Wind

The monsoon wind is the greatest storm in the world. It is also the most regular, blowing in a set pattern twice a year, and the most powerful, whipping up waves thirty feet high in the Arabian Sea and bringing rain in volumes that can exceed ten inches in a day. It is a wind that has shaped the lives of millions of people for thousands of years, and it is a wind that has created and destroyed empires.

The monsoon is born in the vast, broiling cauldron of the Indian Ocean. In the first week of June, the sun, directly overhead at the Tropic of Cancer, begins to heat the land of the Indian subcontinent. The temperature rises to 110 degrees Fahrenheit and higher, and the land, baked dry by the sun, begins to lose its moisture to the air above it. The air, now laden with this moisture, rises, creating an area of low pressure over the subcontinent.

At the same time, the sun begins to heat the ocean to the south. But the ocean, being much larger than the land, takes longer to heat up. The result is that the air over the ocean remains cooler than the air over the land. The cooler air moves towards the warmer air, creating a wind that blows from the southwest across the ocean and the Arabian Sea towards the Indian subcontinent. This is the monsoon wind.

The monsoon wind brings with it the promise of rain. The people of the subcontinent, who have been waiting for the monsoon for months, greet its arrival with joy and relief. The land, parched and cracked, springs to life as the rain falls. The rivers, which have been reduced to a trickle, swell and flow once more. The crops, which have been withering in the fields, grow tall and strong. The monsoon is the lifeblood of the subcontinent, and the people who live there have learned to live with its rhythms and its moods.

But the monsoon is also a destructive force. The wind, blowing at speeds of up to sixty miles an hour, can cause havoc, uprooting trees, tearing down buildings, and sinking ships. The rain, falling in torrents, can cause floods, washing",0
What is the first passage of Normal People by Sally Rooney?,"1

Marianne answers the door when Connell rings the bell. She's still in her school uniform, the one she wears every day: a short blue skirt, white shirt, navy blue sweater with a crest on it. Her hair is tied back. She looks like a public school girl, which she is, but she also looks older than that, more sophisticated, in a way that's difficult to define. Maybe it's the way she stands, or the expression on her face.

He's in his tracksuit, the one he wears for football. It's new and expensive, a present from his mother for Christmas. He looks at her and smiles.

""Hi.""

""Hi.""

He steps inside, and she closes the door behind him. The house is big and old, and it's a bit of a mess, but in a nice way. There are books and papers everywhere, and clothes, and records. It's the kind of house that looks like no one ever tidies it up, even though someone must, because it never looks dirty.

""How was school?"" she asks.

""Same as ever,"" he says. ""How was your day?""

""Fine,"" she says. ""I did some work.""

He looks at her, and she looks back at him. They're both a bit shy, a bit awkward. They've been friends for a long time, but they've never been alone together like this before.

""Do you want to watch a movie or something?"" she asks.

""Sure,"" he says.

She leads him into the living room, and they sit down on the couch. She puts on a DVD, and they watch it, not really paying attention. They're both thinking about other things.

After a while, she turns to him.

""Do you want to go upstairs?"" she asks.

He looks at her, and she looks back at him. He can see the question in her eyes, and he knows what she's asking.

""Okay,"" he says.

They get up and go upstairs, and they close the door behind them. And then they're alone, in her bedroom, and they don't know what to do.

This is the beginning of their story.",0
What is the first passage of It by Stephen King?,"1957-58.

The terror, which would not end for another twenty-eight years—if it ever did end—began, so far as I know or can tell, with",1
What is the first passage of Lolita by Vladimir Nabokov?," Lolita, or The Confession of a White Widowed Male, is a novel by Vladimir Nabokov, and the first passage of the book is as follows:

""Lolita, light of my life, fire of my loins. My sin, my soul. Lo-lee-ta: the tip of the tongue taking a trip of three steps down the palate to tap, at three, on the teeth. Lo. Lee. Ta.",1
What is the first passage of Twilight by Stephanie Meyer?,"Here is the first passage of Twilight by Stephanie Meyer:

""I'd never given much thought to how I would die - though I'd had reason enough in the last few months - but even if I had, I would not have imagined it like this. I stared without breathing across the long room, into the dark eyes of the hunter, and he looked pleasantly back at me.",1
 What is the first passage of The Time Traveler's Wife by Audrey Niffenegger?,1,0
What is the first passage of Catching Fire by Suzzane Collins?,"I clasp the fluttering parchment in my hands. The seal is still intact, the impression of a mockingjay, the symbol of the rebellion, stamped deep into the wax. I break it with my thumb, and the letter falls out onto my lap. It's written in my sister's handwriting, which is similar to mine but more childish, the letters less uniform. The message is brief, as I knew it would be. Prim has never been one for writing.

Hey Katniss,

If you're reading this, I'm gone. I just wanted to tell you that I'm going to the Capitol. I can't take it here anymore. I don't want to be a part of this world where people hurt each other just to get ahead. I don't want to be a piece in their games. The Hunger Games. I hate them.

I'm going to volunteer as tribute. I know it's against the rules, but I don't care. I'm doing it for us. For you and me. So that we don't have to be afraid anymore. So that we can live in peace.

Please forgive me. I love you.

Prim

I stare at the letter, uncomprehending. Volunteer as tribute? How can she do that? She's only twelve. The rules state that only tributes between the ages of twelve and eighteen are eligible.

But then I remember. The rule was changed after the last rebellion. Now, any citizen of Panem can volunteer as tribute. It's a way to keep the peace, to ensure that the districts don't rise up against the Capitol again.

I crumple the letter in my hands, my heart racing. Prim. My little sister. She's always been so timid, so afraid of everything. And now she's going to the Capitol to fight in the Hunger Games.

I can't let her do this. I won't. I made a promise to our mother, on her deathbed, that I would take care of Prim. And I will. I'll do whatever it takes to keep her safe.

I stand up, my legs shaking. I have to go to the Justice Building, where the reaping is being held",0
What is the first passage of  The Lovely Bones by Alice Sebold?,"My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973. My murderer was a man from our neighborhood. My mother liked his border flowers, and my father talked to him once about fertilizer.",1
